Id,Active,ProductCode,ProductType,Name,ProductFamily,Category,GLAccount,Description,UnitOfMeasure,Tags,UnitCost,LotAndExpiryControl,ColdChain,ControlledSubstance,HazardousMaterial,Reconditioned,Manufacturer,BrandName,ManufacturerCode,ManufacturerName,Vendor,VendorCode,VendorName,UPC,NDC,Created,Updated
,TRUE,,Default,Calcium folinate injection 3mg/mL in 10mL ampoule,,Cytotoxic medicines,,,Each,"Malignant neoplasm metastasis in large intestine,Burkitt lymphoma including Burkitt leukaemia,Malignant trophoblastic neoplasms of placenta,Osteosarcoma of bone and articular cartilage of unspecified sites",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Calcium gluconate injection, 100mg/mL in 10mL ampoule",,Specific,,,Each,Hypermagnesaemia,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Capecitabine 150mg tablet,,Cytotoxic medicines,,,Each,Malignant neoplasms of colon,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Capecitabine 500mg tablet,,Cytotoxic medicines,,,Each,Malignant neoplasm metastasis in large intestine,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Carbamazepine 100mg chewable tablet,,Medicines used in bipolar disorders,,,Each,Epilepsy or seizures,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Carbamazepine 100mg scored tablet,,Anticonvulsants/antiepileptics,,,Each,"Bipolar or related disorders,Epilepsy or seizures",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Carbamazepine 200mg chewable tablet,,Anticonvulsants/antiepileptics,,,Each,Epilepsy or seizures,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Carbamazepine 200mg scored tablet,,Anticonvulsants/antiepileptics,,,Each,"Epilepsy or seizures,Bipolar or related disorders",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Carbamazepine oral solution, 100mg/5mL",,Anticonvulsants/antiepileptics,,,Each,Epilepsy or seizures,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Carbetocin injection 100ug/mL,,Uterotonics,,,Each,Postpartum haemorrhage,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Carboplatin injection, 150mg/15mL",,Cytotoxic medicines,,,Each,"Other specified malignant neoplasms of bronchus or lung,Malignant neoplasms of nasopharynx,Other specified carcinomas of ovary,Malignant neoplasms of breast",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Carboplatin injection, 450mg/45mL",,Cytotoxic medicines,,,Each,"Other specified malignant neoplasms of bronchus or lung,Malignant neoplasms of nasopharynx,Other specified carcinomas of ovary,Malignant neoplasms of breast",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Carboplatin injection, 50mg/5mL",,Cytotoxic medicines,,,Each,"Other specified malignant neoplasms of bronchus or lung,Malignant neoplasms of nasopharynx,Other specified carcinomas of ovary,Malignant neoplasms of breast",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Carboplatin injection, 600mg/60mL",,Cytotoxic medicines,,,Each,"Other specified malignant neoplasms of bronchus or lung,Malignant neoplasms of nasopharynx,Other specified carcinomas of ovary,Malignant neoplasms of breast",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Carvedilol 12.5mg tablet,,Antianginal medicines,,,Each,"Angina pectoris,Heart failure",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Carvedilol 6.25mg tablet,,Medicines used in heart failure,,,Each,"Angina pectoris,Heart failure",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Cefalexin 250mg tablet,,Access group antibiotics,,,Each,"Acute pharyngitis,Bacterial cellulitis, erysipelas or lymphangitis,Chronic obstructive pulmonary disease with acute exacerbation",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Cefalexin 500mg tablet,,Access group antibiotics,,,Each,"Acute pharyngitis,Bacterial cellulitis, erysipelas or lymphangitis,Chronic obstructive pulmonary disease with acute exacerbation",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Cefalexin oral solution, 125mg/5mL",,Access group antibiotics,,,Each,"Acute pharyngitis,Bacterial cellulitis, erysipelas or lymphangitis,Chronic obstructive pulmonary disease with acute exacerbation",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Cefalexin oral solution, 250mg/5mL",,Access group antibiotics,,,Each,"Acute pharyngitis,Bacterial cellulitis, erysipelas or lymphangitis,Chronic obstructive pulmonary disease with acute exacerbation",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Cefazolin powder for injection, 1g",,Access group antibiotics,,,Each,Other specified prophylactic measures,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Cefiderocol powder for injection, 1g",,Reserve group antibiotics,,,Each,Carbapenem-resistant Pseudomonas aeruginosa,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Cefixime 200mg tablet,,Watch group antibiotics,,,Each,"Gonococcal infection,Infectious gastroenteritis or colitis without specification of infectious agent",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Cefixime 400mg tablet,,Watch group antibiotics,,,Each,"Gonococcal infection,Infectious gastroenteritis or colitis without specification of infectious agent",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Cefixime oral solution, 100mg/5mL",,Watch group antibiotics,,,Each,"Gonococcal infection,Infectious gastroenteritis or colitis without specification of infectious agent",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Cefotaxime powder for injection, 250mg",,Watch group antibiotics,,,Each,Peritonitis (mild-moderate),,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ceftazidime 2g + avibactam 0.5g powder for injection,,Watch group antibiotics,,,Each,Carbapenem resistant Acinetobacter baumannii,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Ceftazidime powder for injection, 1000mg",,Watch group antibiotics,,,Each,"Pseudomonas aeruginosa resistant to other antibiotic,Endophthalmitis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Ceftazidime powder for injection, 250mg",,Watch group antibiotics,,,Each,"Pseudomonas aeruginosa resistant to other antibiotic,Endophthalmitis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Ceftriaxone powder for injection, 1g",,Watch group antibiotics,,,Each,"Peritonitis (severe),Peritonitis (mild-moderate),Bacterial pneumonia (Community-acquired pneumonia - severe) [children]",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Ceftriaxone powder for injection, 250mg",,Watch group antibiotics,,,Each,"Peritonitis (severe),Peritonitis (mild-moderate),Bacterial pneumonia (Community-acquired pneumonia - severe) [children]",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Ceftriaxone powder for injection, 2g",,Watch group antibiotics,,,Each,"Peritonitis (severe),Peritonitis (mild-moderate),Bacterial pneumonia (Community-acquired pneumonia - severe) [children]",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Cefuroxime powder for injection, 1.5g",,Watch group antibiotics,,,Each,Other specified prophylactic measures,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Cefuroxime powder for injection, 250mg",,Watch group antibiotics,,,Each,Other specified prophylactic measures,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Cefuroxime powder for injection, 750mg",,Watch group antibiotics,,,Each,Other specified prophylactic measures,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Cetirizine 10mg tablet,,Antiallergics and medicines used in anaphylaxis,,,Each,Allergic or hypersensitivity conditions of unspecified type,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Chloramphenicol 250mg capsule,,Access group antibiotics,,,Each,Bacterial meningitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Chloramphenicol oily injection, 500mg/2mL",,Access group antibiotics,,,Each,Bacterial meningitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Chloramphenicol oral solution, 150mg/5mL",,Access group antibiotics,,,Each,Bacterial meningitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Chloramphenicol powder for injection, 1g",,Access group antibiotics,,,Each,Bacterial meningitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Chlorhexidine digluconate 5% solution,,Antiseptics,,,Each,Chlorhexidine,,FALSE,,,,,,,,,,,,,,,
,TRUE,,Default,Chlorhexidine digluconate 7.1% solution,,Medicines administered to the neonate [c],,,Each,Omphalitis of newborn,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Chloroxylenol 4% solution,,Disinfectants,,,Each,"Phenol disinfectant, not elsewhere classified",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Chlorpromazine 100mg tablet,,Medicines used in psychotic disorders,,,Each,Schizophrenia or other primary psychotic disorders,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Chlorpromazine 10mg tablet,,Medicines used in psychotic disorders,,,Each,Schizophrenia or other primary psychotic disorders,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Chlorpromazine 25mg tablet,,Medicines used in psychotic disorders,,,Each,Schizophrenia or other primary psychotic disorders,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Chlorpromazine 50mg tablet,,Medicines used in psychotic disorders,,,Each,Schizophrenia or other primary psychotic disorders,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Chlorpromazine injection 25mg/mL in 2mL vial,,Medicines used in psychotic disorders,,,Each,Schizophrenia or other primary psychotic disorders,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Chlorpromazine oral solution 25mg/5mL,,Medicines used in psychotic disorders,,,Each,Schizophrenia or other primary psychotic disorders,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Cholera vaccine,,Recommendations for some high-risk populations,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Ciclosporin injection 25mg tablet,,Immunomodulators for non-malignant disease,,,Each,Failure or rejection of transplanted organs or tissues,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ciclosporin injection 50mg/mL in 1mL ampoule,,Immunomodulators for non-malignant disease,,,Each,Failure or rejection of transplanted organs or tissues,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ciprofloxacin 0.3% eye drops,,"Ear, nose and throat medicines [c]",,,Each,Infectious diseases of external ear,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ciprofloxacin 250mg tablet,,Watch group antibiotics,,,Each,Infectious gastroenteritis or colitis without specification of infectious agent,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ciprofloxacin injection 2mg/mL,,Watch group antibiotics,,,Each,Acute pyelonephritis (mild to moderate),,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ciprofloxacin oral solution 250mg/5mL,,Watch group antibiotics,,,Each,Inflammatory and other diseases of prostate (mild to moderate),,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clarithromycin 500mg tablet,,Watch group antibiotics,,,Each,"Acute pharyngitis,Bacterial pneumonia (Community-acquired pneumonia - severe)",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clarithromycin oral solution 125mg/5mL,,Access group antibiotics,,,Each,"Acute pharyngitis,Bacterial pneumonia (Community-acquired pneumonia - severe)",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clarithromycin oral solution 250mg/5mL,,Access group antibiotics,,,Each,"Acute pharyngitis,Bacterial pneumonia (Community-acquired pneumonia - severe)",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clarithromycin powder for injection 500mg,,Access group antibiotics,,,Each,"Acute pharyngitis,Bacterial pneumonia (Community-acquired pneumonia - severe)",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clindamycin hydrochloride 150mg capsule,,Access group antibiotics,,,Each,"Necrotising fasciitis,Bacterial infection of joint,Osteomyelitis or osteitis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clindamycin hydrochloride oral solution 75mg/5mL,,Access group antibiotics,,,Each,"Necrotising fasciitis,Bacterial infection of joint,Osteomyelitis or osteitis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clindamycin phosphate injection 150mg/mL,,Access group antibiotics,,,Each,"Necrotising fasciitis,Bacterial infection of joint,Osteomyelitis or osteitis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clindamycin phosphate injection 600mg/4mL,,Access group antibiotics,,,Each,"Necrotising fasciitis,Bacterial infection of joint,Osteomyelitis or osteitis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clindamycin phosphate injection 900mg/6mL,,Access group antibiotics,,,Each,"Necrotising fasciitis,Bacterial infection of joint,Osteomyelitis or osteitis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clofazimine 100mg tablet,,Antituberculosis medicines,,,Each,"Multi-drug resistant Mycobacterium tuberculosis,Leprosy",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clofazimine 50mg tablet,,Antituberculosis medicines,,,Each,"Multi-drug resistant Mycobacterium tuberculosis,Leprosy",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clomifene 50mg tablet,,Ovulation inducers,,,Each,Female infertility without specification whether primary or secondary,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clomipramine 10mg tablet,,Medicines used for obsessive compulsive disorders,,,Each,Obsessive-compulsive disorder,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clomipramine 25mg tablet,,Medicines used for obsessive compulsive disorders,,,Each,Obsessive-compulsive disorder,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clopidogrel 300mg tablet,,Anti-platelet medicines,,,Each,"Presence of coronary angioplasty implant or graft,Acute ischaemic heart disease",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clopidogrel 75mg tablet,,Anti-platelet medicines,,,Each,"Presence of coronary angioplasty implant or graft,Acute ischaemic heart disease",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clotrimazole 1% vaginal cream,,Antifungal medicines (topical),,,Each,Vulvovaginal candidosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clotrimazole 10% vaginal cream,,Antifungal medicines (topical),,,Each,Vulvovaginal candidosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clotrimazole 100mg vaginal tablet,,Antifungal medicines (topical),,,Each,Vulvovaginal candidosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clotrimazole 500mg vaginal tablet,,Antifungal medicines (topical),,,Each,Vulvovaginal candidosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Cloxacillin 1g capsule,,Access group antibiotics,,,Each,Osteomyelitis or osteitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Cloxacillin 500mg capsule,,Access group antibiotics,,,Each,Bacterial cellulitis erysipelas or lymphangitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Cloxacillin oral solution 125mg/5mL,,Access group antibiotics,,,Each,Bacterial infection of joint,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Cloxacillin powder for injection 500mg,,Access group antibiotics,,,Each,Sepsis without septic shock,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clozapine 100mg tablet,,Medicines used in psychotic disorders,,,Each,Schizophrenia or other primary psychotic disorders,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clozapine 25mg tablet,,Medicines used in psychotic disorders,,,Each,Schizophrenia or other primary psychotic disorders,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Clozapine 50mg tablet,,Medicines used in psychotic disorders,,,Each,Schizophrenia or other primary psychotic disorders,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Coagulation factor IX complex powder for injection, 1000IU",,Blood coagulation factors,,,Each,Coagulation defects purpura or other haemorrhagic or related conditions,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Coagulation factor IX complex powder for injection, 500IU",,Blood coagulation factors,,,Each,Haemophilia B,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Coagulation factor VII complex powder for injection, 500IU",,Blood coagulation factors,,,Each,Haemophilia A,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Coal tar 5% solution,,Medicines affecting skin differentiation and proliferation,,,Each,Psoriasis of unspecified type,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Codeine phosphate 30mg tablet,,Opioid analgesics,,,Each,Pain,,TRUE,,TRUE,,,,,,,,,,,,,
,TRUE,,Default,Colecalciferol 1000IU tablet,,Vitamins and minerals,,,Each,"Calcium deficiency,Vitamin D deficiency",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Colecalciferol 400IU tablet,,Vitamins and minerals,,,Each,"Calcium deficiency,Vitamin D deficiency",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Colecalciferol oral solution 400IU/mL,,Vitamins and minerals,,,Each,"Calcium deficiency,Vitamin D deficiency",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Condoms,,Barrier methods,,,Each,,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Copper-containing intrauterine device,,Intrauterine devices,,,Each,,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Cyclizine 50mg tablet,,Medicines for other common symptoms in palliative care,,,Each,Palliative care,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Cyclizine injection, 50mg/mL",,Medicines for other common symptoms in palliative care,,,Each,Palliative care,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Cycloserine 125mg tablet,,Medicines affecting coagulation,,,Each,Other specified atrial fibrillation,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Cycloserine 250mg tablet,,Antituberculosis medicines,,,Each,Multi-drug resistant Mycobacterium tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dabigatran 110mg tablet,,Medicines affecting coagulation,,,Each,Venous thromboembolism,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dabigatran 150mg tablet,,Medicines affecting coagulation,,,Each,Venous thromboembolism,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Dacarbazine powder for injection, 100mg",,Cytotoxic medicines,,,Each,Hodgkin lymphoma,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Daclatasvir 60mg + sofosbuvir 400mg tablet,,Pangenotypic direct-acting antiviral combinations,,,Each,Chronic hepatitis C,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Daclatasvir hydrochloride 30mg tablet,,Pangenotypic direct-acting antiviral combinations,,,Each,Chronic hepatitis C,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Daclatasvir hydrochloride 60mg tablet,,Pangenotypic direct-acting antiviral combinations,,,Each,Chronic hepatitis C,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Dactinomycin powder for injection, 500ug",,Cytotoxic medicines,,,Each,Malignant trophoblastic neoplasms of placenta,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dapsone 100mg tablet,,Antileprosy medicines,,,Each,Leprosy,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dapsone 25mg tablet,,Antileprosy medicines,,,Each,Leprosy,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dapsone 50mg tablet,,Antileprosy medicines,,,Each,Leprosy,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Darunavir 400mg tablet,,Protease inhibitors,,,Each,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Darunavir 600mg tablet,,Protease inhibitors,,,Each,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Darunavir 75mg tablet,,Protease inhibitors,,,Each,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Darunavir 800mg tablet,,Protease inhibitors,,,Each,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dasabuvir 250mg tablet,,Non-pangenotypic direct-acting antiviral combinations,,,Each,Chronic hepatitis C,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dasatinib 100mg tablet,,Targeted therapies,,,Each,Chronic myeloid leukaemia not elsewhere classified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dasatinib 140mg tablet,,Targeted therapies,,,Each,Chronic myeloid leukaemia not elsewhere classified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dasatinib 20mg tablet,,Targeted therapies,,,Each,Chronic myeloid leukaemia not elsewhere classified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dasatinib 50mg tablet,,Targeted therapies,,,Each,Chronic myeloid leukaemia not elsewhere classified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dasatinib 70mg tablet,,Targeted therapies,,,Each,Chronic myeloid leukaemia not elsewhere classified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dasatinib 80mg tablet,,Targeted therapies,,,Each,Chronic myeloid leukaemia not elsewhere classified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Daunorubicin hydrochloride powder for injection, 50mg",,Cytotoxic medicines,,,Each,Acute myeloid leukaemia with recurrent genetic abnormalities,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Deferoxamine powder for injection, 500mg",,Specific,,,Each,Harmful effects of drugs medicaments or biological substances not elsewhere classified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Delamanid 25mg tablet,,Antituberculosis medicines,,,Each,Multi-drug resistant Mycobacterium tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Delamanid 50mg tablet,,Antituberculosis medicines,,,Each,Multi-drug resistant Mycobacterium tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dengue vaccine,,Recommendations for some high-risk populations,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Desmopressin 4ug nasal spray,,Medicines affecting coagulation,,,Each,Von Willebrand disease,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Desmopressin injection, 4ug/mL",,Medicines affecting coagulation,,,Each,Haemophilia A,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dexamethasone 1.5 tablet,,Antiemetic medicines,,,Each,Nausea or vomiting,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dexamethasone 2mg tablet,,Antiemetic medicines,,,Each,"Plasma cell myeloma,Palliative care,Nausea or vomiting",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dexamethasone 4mg tablet,,Antiemetic medicines,,,Each,"Plasma cell myeloma,Palliative care,Nausea or vomiting",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dexamethasone injection 4mg/mL,,Antiallergics and medicines used in anaphylaxis,,,Each,"Respiratory distress syndrome of the newborn altered by maternal corticosteroid therapy,Plasma cell myeloma,Palliative care,Nausea or vomiting,Allergic or hypersensitivity conditions of unspecified type",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dexamethasone oral solution 0.5mg/5mL,,Antiemetic medicines,,,Each,"Plasma cell myeloma,Palliative care,Nausea or vomiting",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dexamethasone oral solution 2mg/5mL,,Antiemetic medicines,,,Each,"Plasma cell myeloma,Palliative care,Nausea or vomiting",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dextran 70 6% injection,,Plasma substitutes,,,Each,Hypovolaemia,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Diaphragms,,Barrier methods,,,Each,,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Diazepam 2mg scored tablet,,Medicines for anxiety disorders ,,,Each,Anxiety,,TRUE,,TRUE,,,,,,,,,,,,,
,TRUE,,Default,Diazepam 5mg scored tablet,,Medicines for anxiety disorders ,,,Each,Anxiety,,TRUE,,TRUE,,,,,,,,,,,,,
,TRUE,,Default,Diazepam injection 5mg/mL,,Medicines for other common symptoms in palliative care,,,Each,Palliative care,,TRUE,,TRUE,,,,,,,,,,,,,
,TRUE,,Default,Diazepam oral solution 2mg/5mL,,Medicines for other common symptoms in palliative care,,,Each,Palliative care,,TRUE,,TRUE,,,,,,,,,,,,,
,TRUE,,Default,Diazepam rectal gel 5mg/mL in 0.5mL tube,,Anticonvulsants/antiepileptics,,,Each,Status epilepticus,,TRUE,,TRUE,,,,,,,,,,,,,
,TRUE,,Default,Diazepam rectal gel 5mg/mL in 4mL tube,,Anticonvulsants/antiepileptics,,,Each,Status epilepticus,,TRUE,,TRUE,,,,,,,,,,,,,
,TRUE,,Default,Diazoxide 50mg tablet,,Medicines for hypoglycaemia,,,Each,Persistent hyperinsulinaemic hypoglycaemia of infancy,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Diazoxide oral solution 50mg/mL,,Medicines for hypoglycaemia,,,Each,Persistent hyperinsulinaemic hypoglycaemia of infancy,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Diethylcarbamazine 100mg tablet,,Antifilarials,,,Each,Lymphatic filariasis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Diethylcarbamazine 50mg tablet,,Antifilarials,,,Each,Lymphatic filariasis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Digoxin 250 ug tablet,,Antiarrhythmic medicines,,,Each,Cardiac arrhythmia,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Digoxin 62.5 ug tablet,,Antiarrhythmic medicines,,,Each,Cardiac arrhythmia,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Digoxin injection 250ug/mL in 2mL ampoule,,Antiarrhythmic medicines,,,Each,Cardiac arrhythmia,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Digoxin oral solution 50ug/mL,,Medicines used in heart failure,,,Each,Heart failure,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dihydroartemisinin 40mg + piperaquine phosphate 320mg tablet,,For curative treatment,,,Each,Malaria due to Plasmodium falciparum,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Diloxanide 500mg tablet,,Antiamoebic and antigiardiasis medicines,,,Each,Amoebiasis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Dilver diamine fluoride 38% solution,,Dental preparations,,,Each,Dental caries,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Dimercaprol injection, 50mg/mL in 2mL ampoule",,Specific,,,Each,Harmful effects of or exposure to noxious substances chiefly nonmedicinal as to source not elsewhere classified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Diphtheria antitoxin injection, 1000IU",,"Sera, immunoglobulins and monoclonal antibodies",,,Each,,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Diphtheria antitoxin injection, 2000IU",,"Sera, immunoglobulins and monoclonal antibodies",,,Each,,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Diphtheria vaccine,,Recommendations for all immunization programmes,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,"Docetaxel injection, 20mg/mL",,Cytotoxic medicines,,,Each,Other specified malignant neoplasms of breast,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Docetaxel injection, 40mg/mL",,Cytotoxic medicines,,,Each,Malignant neoplasms of breast,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Docusate sodium 100mg capsule,,Medicines for other common symptoms in palliative care,,,Each,Palliative care,,TRUE,,,,,,,,,,,,,,,
